"","Tumor_cE01_(StemTA-like)_qval","Tumor_cE03_(StemTA-like_prolif)_qval","Tumor_cE05_(Enterocyte_2)_qval","Tumor_cE02_(StemTA-likeImmature_Goblet)_qval","Tumor_cE06_(Immature_Goblet)_qval"
"GAVISH_3CA_METAPROGRAM_EPITHELIAL_PDAC_RELATED_2",4.91585797723938,6.72122894328309,3.85858448754514,7.65578603639038,5.52201319044959
"HALLMARK_ESTROGEN_RESPONSE_LATE",4.91585797723938,6.72122894328309,3.49795873474214,7.14666606254983,5.69424583091407
"HALLMARK_INTERFERON_GAMMA_RESPONSE",4.91585797723938,7.14666606254983,2.75430465448774,7.57102652226163,5.34939227464052
"HALLMARK_KRAS_SIGNALING_UP",4.91585797723938,5.9519440422814,2.94392816314568,6.97663207260269,4.21439023064018
"bioplanet_1425_Interleukin-4 regulation of apoptosis",4.91585797723938,5.69424583091407,2.05721100881878,6.55070281348857,3.85858448754514
"bioplanet_204_Phagosome",4.91585797723938,5.69424583091407,2.6582603490473,6.72122894328309,4.65411156213159
"GAVISH_3CA_MALIGNANT_METAPROGRAM_39_METAL_RESPONSE",4.82876001639103,5.60817569519754,3.22331192699552,5.52201319044959,3.31532673359404
"bioplanet_1118_Antigen presentation: folding, assembly, and peptide loading of class I MHC proteins",4.82876001639103,6.46535607667128,1.61632475605795,7.14666606254983,4.3908657864606
"bioplanet_1435_FSH regulation of apoptosis",4.82876001639103,6.80641275509185,2.56126781642024,6.80641275509185,4.30273421159088
"bioplanet_1630_Post-translational protein modification",4.82876001639103,6.63599301271684,1.49703532919208,6.89154648673416,4.21439023064018
"bioplanet_801_Respiratory electron transport, ATP biosynthesis by chemiosmotic coupling, and heat production by uncoupling proteins",4.82876001639103,6.37995040595369,0,6.29448326855961,1.73126325977237
"GAVISH_3CA_MALIGNANT_METAPROGRAM_14_EMT_3",4.74151411741105,6.80641275509185,3.67896581763017,6.72122894328309,5.34939227464052
"GAVISH_3CA_METAPROGRAM_EPITHELIAL_METABOLISM_KIDNEY_1",4.74151411741105,4.03700673556826,2.56126781642024,5.86612606079381,2.75430465448774
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",4.74151411741105,5.52201319044959,2.36395730752721,6.46535607667128,4.21439023064018
"HALLMARK_FATTY_ACID_METABOLISM",4.74151411741105,6.0376854680317,2.26334212484057,6.72122894328309,3.49795873474214
"HALLMARK_P53_PATHWAY",4.74151411741105,6.46535607667128,1.73126325977237,7.40139901363103,4.30273421159088
"bioplanet_1102_Tricarboxylic acid (TCA) cycle and respiratory electron transport",4.74151411741105,6.72122894328309,0.763890715865263,6.72122894328309,2.84949904500044
"GAVISH_3CA_METAPROGRAM_CD4_T_CELLS_GLYCOLYSIS_MYC",4.65411156213159,5.17634218757402,0,5.52201319044959,3.67896581763017
"HALLMARK_COMPLEMENT",4.65411156213159,6.37995040595369,2.84949904500044,6.89154648673416,3.85858448754514
"HALLMARK_IL2_STAT5_SIGNALING",4.65411156213159,5.60817569519754,2.46321203032535,6.12335372019945,3.85858448754514
"HALLMARK_MYOGENESIS",4.65411156213159,4.74151411741105,2.26334212484057,5.52201319044959,2.84949904500044
"bioplanet_296_Viral myocarditis",4.65411156213159,6.12335372019945,2.75430465448774,5.78022793055288,4.21439023064018
"bioplanet_315_Alzheimer's disease",4.65411156213159,6.12335372019945,2.46321203032535,7.31652835393823,3.49795873474214
"bioplanet_664_Interferon-gamma signaling pathway",4.65411156213159,5.52201319044959,3.13077459853555,7.4862312816593,4.91585797723938
"GAVISH_3CA_MALIGNANT_METAPROGRAM_21_RESPIRATION",4.56654292963983,5.78022793055288,0,5.43575369515348,2.36395730752721
"GAVISH_3CA_METAPROGRAM_B_CELLS_RESPIRATION",4.56654292963983,6.46535607667128,1.24029253760438,6.97663207260269,4.30273421159088
"bioplanet_1113_HIV factor interactions with host",4.56654292963983,5.17634218757402,0.942657008357277,6.37995040595369,3.85858448754514
"bioplanet_1517_Developmental biology",4.56654292963983,6.12335372019945,1.61632475605795,7.23161787116729,3.94793460398317
"bioplanet_1558_Hemostasis pathway",4.56654292963983,6.0376854680317,2.05721100881878,6.46535607667128,3.49795873474214
"bioplanet_203_Endocytosis",4.56654292963983,5.78022793055288,1.84267338688252,6.72122894328309,4.30273421159088
"bioplanet_318_Huntington's disease",4.56654292963983,6.89154648673416,2.36395730752721,7.31652835393823,3.13077459853555
"bioplanet_534_Signal transduction",4.56654292963983,6.29448326855961,1.84267338688252,6.80641275509185,4.30273421159088
"HALLMARK_GLYCOLYSIS",4.47879802300237,5.60817569519754,1.24029253760438,7.06167134946605,5.00281608039784
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",4.47879802300237,5.86612606079381,0,4.56654292963983,2.36395730752721
"bioplanet_279_Pathways in cancer",4.47879802300237,5.34939227464052,1.49703532919208,6.12335372019945,4.30273421159088
"GAVISH_3CA_MALIGNANT_METAPROGRAM_18_INTERFERON_MHC_II_2",4.3908657864606,6.29448326855961,1.95116673061752,7.31652835393823,4.47879802300237
"GAVISH_3CA_METAPROGRAM_EPITHELIAL_COLON_RELATED",4.3908657864606,6.55070281348857,2.56126781642024,8.41720157179205,5.9519440422814
"GAVISH_3CA_METAPROGRAM_EPITHELIAL_EMT_LIKE_1",4.3908657864606,5.86612606079381,0,6.12335372019945,2.75430465448774
"GAVISH_3CA_METAPROGRAM_FIBROBLASTS_MYOFIBROBLASTS",4.3908657864606,6.63599301271684,0,6.46535607667128,3.58864942322419
"HALLMARK_ADIPOGENESIS",4.3908657864606,5.43575369515348,2.05721100881878,5.78022793055288,2.94392816314568
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",4.3908657864606,5.69424583091407,2.46321203032535,6.29448326855961,3.94793460398317
"HALLMARK_UV_RESPONSE_DN",4.3908657864606,5.78022793055288,0.539981142053585,6.12335372019945,2.56126781642024
"bioplanet_1059_Electron transport chain",4.3908657864606,6.55070281348857,0,6.63599301271684,2.36395730752721
"bioplanet_810_Lipid and lipoprotein metabolism",4.3908657864606,6.63599301271684,2.16117219113697,6.97663207260269,3.85858448754514
"GAVISH_3CA_MALIGNANT_METAPROGRAM_19_EPITHELIAL_SENESCENCE",4.30273421159088,6.55070281348857,3.22331192699552,7.23161787116729,4.65411156213159
"GAVISH_3CA_METAPROGRAM_MACROPHAGES_RESPIRATION",4.30273421159088,6.55070281348857,0.942657008357277,6.80641275509185,3.7689357967265
"bioplanet_196_Actin cytoskeleton regulation",4.30273421159088,5.60817569519754,0,5.26292365391609,3.22331192699552
"bioplanet_929_Innate immune system",4.30273421159088,5.52201319044959,1.95116673061752,7.31652835393823,3.40686272261997
"GAVISH_3CA_MALIGNANT_METAPROGRAM_35_HEMATO_RELATED_1",4.21439023064018,4.3908657864606,2.75430465448774,5.9519440422814,3.49795873474214
"GAVISH_3CA_METAPROGRAM_EPITHELIAL_METABOLISM_KIDNEY_2",4.21439023064018,4.56654292963983,2.6582603490473,5.9519440422814,2.75430465448774
"GAVISH_3CA_METAPROGRAM_EPITHELIAL_V_ATPASE",4.21439023064018,5.26292365391609,3.22331192699552,5.9519440422814,3.40686272261997
"HALLMARK_HYPOXIA",4.21439023064018,6.12335372019945,1.73126325977237,6.72122894328309,4.47879802300237
"HALLMARK_XENOBIOTIC_METABOLISM",4.21439023064018,5.52201319044959,2.36395730752721,6.12335372019945,3.22331192699552
"bioplanet_1067_Transmembrane transport of small molecules",4.21439023064018,5.9519440422814,2.94392816314568,6.89154648673416,4.03700673556826
"bioplanet_1732_Adipogenesis",4.21439023064018,4.30273421159088,0,5.60817569519754,1.61632475605795
"GAVISH_3CA_METAPROGRAM_MACROPHAGES_MES_GLYCOLYSIS",4.12581959490148,6.72122894328309,2.16117219113697,6.46535607667128,3.31532673359404
"HALLMARK_INTERFERON_ALPHA_RESPONSE",4.12581959490148,6.12335372019945,2.56126781642024,6.46535607667128,3.94793460398317
"HALLMARK_MTORC1_SIGNALING",4.12581959490148,6.20895198537489,2.46321203032535,6.97663207260269,3.94793460398317
"bioplanet_117_mTOR signaling pathway",4.12581959490148,5.78022793055288,0,5.43575369515348,2.16117219113697
"bioplanet_1343_AP-1 transcription factor network",4.12581959490148,4.65411156213159,0,5.34939227464052,3.03766536355106
"bioplanet_1698_Translation factors",4.12581959490148,5.78022793055288,0,5.43575369515348,1.61632475605795
"bioplanet_226_MAPK signaling pathway",4.12581959490148,5.60817569519754,1.61632475605795,6.72122894328309,3.94793460398317
"bioplanet_271_Integrin signaling pathway",4.12581959490148,5.34939227464052,0.11267619700103,5.17634218757402,2.84949904500044
"bioplanet_608_PDGFB signaling pathway",4.12581959490148,5.69424583091407,0,4.30273421159088,2.36395730752721
"bioplanet_890_Axon guidance",4.12581959490148,5.52201319044959,0,5.43575369515348,3.58864942322419
"GAVISH_3CA_METAPROGRAM_EPITHELIAL_MYC",4.03700673556826,5.78022793055288,0.11267619700103,4.82876001639103,2.6582603490473
"HALLMARK_APOPTOSIS",4.03700673556826,6.37995040595369,2.84949904500044,6.55070281348857,3.85858448754514
"bioplanet_316_Parkinson's disease",4.03700673556826,6.29448326855961,0.763890715865263,7.06167134946605,2.94392816314568
"bioplanet_879_Proteasome degradation",4.03700673556826,6.0376854680317,3.22331192699552,6.0376854680317,3.58864942322419
"GAVISH_3CA_MALIGNANT_METAPROGRAM_40_PDAC_RELATED",3.94793460398317,5.26292365391609,2.46321203032535,6.97663207260269,4.21439023064018
"GAVISH_3CA_METAPROGRAM_EPITHELIAL_EMT_LIKE_2",3.94793460398317,5.69424583091407,1.95116673061752,6.0376854680317,4.30273421159088
"GAVISH_3CA_METAPROGRAM_EPITHELIAL_RESPIRATION",3.94793460398317,5.9519440422814,1.372248786702,5.9519440422814,3.22331192699552
"HALLMARK_PEROXISOME",3.94793460398317,5.26292365391609,1.372248786702,5.00281608039784,2.36395730752721
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",3.94793460398317,5.34939227464052,1.372248786702,5.26292365391609,2.84949904500044
"bioplanet_265_Protein processing in the endoplasmic reticulum",3.94793460398317,5.69424583091407,0.539981142053585,6.55070281348857,3.7689357967265
"bioplanet_447_Salivary secretion",3.94793460398317,5.34939227464052,1.09856809401842,6.12335372019945,4.47879802300237
"GAVISH_3CA_METAPROGRAM_EPITHELIAL_ALVEOLAR",3.85858448754514,4.74151411741105,2.46321203032535,5.60817569519754,3.03766536355106
"GAVISH_3CA_METAPROGRAM_MACROPHAGES_MYC_MITOCHONDRIA",3.85858448754514,5.78022793055288,0,4.74151411741105,2.16117219113697
"HALLMARK_ESTROGEN_RESPONSE_EARLY",3.85858448754514,6.37995040595369,3.22331192699552,6.89154648673416,3.94793460398317
"HALLMARK_INFLAMMATORY_RESPONSE",3.85858448754514,5.00281608039784,0.763890715865263,5.34939227464052,3.67896581763017
"bioplanet_530_Signaling by NGF",3.85858448754514,5.60817569519754,1.84267338688252,5.43575369515348,2.6582603490473
"bioplanet_535_Signaling by GPCR",3.85858448754514,5.43575369515348,2.46321203032535,6.20895198537489,3.7689357967265
"bioplanet_635_Interleukin-12-mediated signaling events",3.85858448754514,4.82876001639103,2.84949904500044,4.3908657864606,2.46321203032535
"GAVISH_3CA_METAPROGRAM_FIBROBLASTS_HYPOXIA",3.7689357967265,5.52201319044959,1.09856809401842,4.47879802300237,2.6582603490473
"GAVISH_3CA_METAPROGRAM_MACROPHAGES_LIPID_ASSOCIATED",3.7689357967265,5.69424583091407,0.539981142053585,5.34939227464052,1.95116673061752
"HALLMARK_APICAL_JUNCTION",3.7689357967265,5.78022793055288,0.942657008357277,5.52201319044959,3.03766536355106
"HALLMARK_MYC_TARGETS_V1",3.7689357967265,5.9519440422814,0.539981142053585,6.97663207260269,2.94392816314568
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",3.7689357967265,6.20895198537489,1.61632475605795,6.97663207260269,4.03700673556826
"bioplanet_1138_Messenger RNA processing",3.7689357967265,5.60817569519754,0.763890715865263,5.08964182642378,3.13077459853555
"bioplanet_1585_Membrane trafficking",3.7689357967265,6.0376854680317,0.539981142053585,5.17634218757402,3.58864942322419
"bioplanet_1760_Calcium regulation in the cardiac cell",3.7689357967265,5.43575369515348,1.372248786702,4.65411156213159,2.26334212484057
"bioplanet_376_Oxidative phosphorylation",3.7689357967265,6.80641275509185,0,6.63599301271684,2.94392816314568
"bioplanet_807_Amino acid metabolism",3.7689357967265,5.86612606079381,3.22331192699552,6.12335372019945,2.84949904500044
"bioplanet_873_Degradation of beta-catenin by the destruction complex",3.7689357967265,5.17634218757402,0,5.52201319044959,2.36395730752721
"GAVISH_3CA_MALIGNANT_METAPROGRAM_20_MYC",3.67896581763017,5.9519440422814,0,4.74151411741105,2.05721100881878
"HALLMARK_DNA_REPAIR",3.67896581763017,5.86612606079381,0,5.34939227464052,2.46321203032535
"bioplanet_1159_Destabilization of mRNA by AUF1 (hnRNP D0)",3.67896581763017,5.86612606079381,0.942657008357277,5.60817569519754,2.6582603490473
"bioplanet_1205_Immunoregulatory interactions between a lymphoid and a non-lymphoid cell",3.67896581763017,4.47879802300237,2.75430465448774,6.29448326855961,4.47879802300237
"bioplanet_529_Signaling by the B cell receptor (BCR)",3.67896581763017,5.52201319044959,1.84267338688252,6.20895198537489,3.13077459853555
"bioplanet_686_Interferon alpha/beta signaling",3.67896581763017,5.00281608039784,2.46321203032535,6.0376854680317,4.56654292963983
"GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION",3.58864942322419,6.80641275509185,0,5.26292365391609,2.16117219113697
"GAVISH_3CA_METAPROGRAM_B_CELLS_MHC_II",3.58864942322419,5.08964182642378,2.56126781642024,5.86612606079381,3.13077459853555
"GAVISH_3CA_METAPROGRAM_CD4_T_CELLS_UNASSIGNED",3.58864942322419,5.69424583091407,1.84267338688252,5.9519440422814,3.7689357967265
"GAVISH_3CA_METAPROGRAM_FIBROBLASTS_MHC_II",3.58864942322419,4.12581959490148,1.09856809401842,5.00281608039784,1.84267338688252
"HALLMARK_COAGULATION",3.58864942322419,4.91585797723938,0,5.86612606079381,2.94392816314568
"bioplanet_1185_S phase",3.58864942322419,4.30273421159088,0.942657008357277,5.00281608039784,2.36395730752721
"bioplanet_1440_Prolactin regulation of apoptosis",3.58864942322419,4.91585797723938,1.49703532919208,6.29448326855961,3.31532673359404
"bioplanet_1591_Mitotic G1-G1/S phases",3.58864942322419,4.56654292963983,1.61632475605795,5.17634218757402,3.13077459853555
"bioplanet_1660_Response to elevated platelet cytosolic calcium",3.58864942322419,5.00281608039784,1.95116673061752,5.08964182642378,3.58864942322419
"bioplanet_452_Insulin signaling pathway",3.58864942322419,4.56654292963983,1.49703532919208,5.60817569519754,2.36395730752721
"bioplanet_470_T cell receptor signaling pathway",3.58864942322419,5.00281608039784,1.372248786702,4.74151411741105,2.16117219113697
"bioplanet_473_Leukocyte transendothelial migration",3.58864942322419,4.65411156213159,0.763890715865263,5.26292365391609,3.49795873474214
"bioplanet_509_Signaling by ERBB2",3.58864942322419,4.56654292963983,0,4.74151411741105,1.49703532919208
"bioplanet_977_Integrated breast cancer pathway",3.58864942322419,5.78022793055288,0,5.26292365391609,3.22331192699552
"GAVISH_3CA_METAPROGRAM_CD8_T_CELLS_GLYCOLYSIS_MYC",3.49795873474214,6.29448326855961,0.11267619700103,4.82876001639103,3.58864942322419
"GAVISH_3CA_METAPROGRAM_ENDOTHELIAL_ENDO_6",3.49795873474214,4.91585797723938,0.763890715865263,5.34939227464052,3.7689357967265
"HALLMARK_UV_RESPONSE_UP",3.49795873474214,5.60817569519754,2.56126781642024,5.9519440422814,4.21439023064018
"bioplanet_1116_Cyclin A-Cdk2-associated events at S phase entry",3.49795873474214,4.56654292963983,0,5.17634218757402,2.46321203032535
"bioplanet_1151_mRNA stability regulation by proteins that bind AU-rich elements",3.49795873474214,6.0376854680317,1.372248786702,6.63599301271684,3.49795873474214
"bioplanet_1464_Toll receptor cascades",3.49795873474214,5.60817569519754,1.95116673061752,4.65411156213159,1.61632475605795
"bioplanet_1671_HIF-1 degradation in normoxia",3.49795873474214,5.00281608039784,1.24029253760438,5.69424583091407,2.56126781642024
"bioplanet_195_p53 activity regulation",3.49795873474214,4.47879802300237,0,4.12581959490148,1.95116673061752
"bioplanet_228_Calcium signaling pathway",3.49795873474214,5.08964182642378,1.09856809401842,4.74151411741105,2.16117219113697
"bioplanet_487_Prolactin activation of MAPK signaling",3.49795873474214,4.82876001639103,0.539981142053585,3.85858448754514,1.84267338688252
"bioplanet_610_Downstream signaling events Of B cell receptor (BCR)",3.49795873474214,4.74151411741105,1.95116673061752,5.00281608039784,2.05721100881878
"bioplanet_624_Interleukin-4 signaling pathway",3.49795873474214,4.21439023064018,2.36395730752721,5.17634218757402,3.85858448754514
"GAVISH_3CA_METAPROGRAM_B_CELLS_MEMORY",3.40686272261997,4.47879802300237,1.61632475605795,5.26292365391609,3.58864942322419
"GAVISH_3CA_METAPROGRAM_EPITHELIAL_STRESS",3.40686272261997,4.91585797723938,1.24029253760438,6.0376854680317,3.49795873474214
"bioplanet_1015_Mitochondrial pathway of apoptosis: multidomain Bcl-2 family",3.40686272261997,3.40686272261997,0,4.56654292963983,2.94392816314568
"bioplanet_1072_Iron uptake and transport",3.40686272261997,3.85858448754514,0,5.08964182642378,2.6582603490473
"bioplanet_1503_Clathrin derived vesicle budding",3.40686272261997,4.56654292963983,0,4.74151411741105,2.56126781642024
"bioplanet_1738_Myometrial relaxation and contraction pathways",3.40686272261997,5.78022793055288,1.24029253760438,5.43575369515348,2.56126781642024
"bioplanet_230_Wnt signaling pathway",3.40686272261997,4.65411156213159,1.09856809401842,5.69424583091407,3.13077459853555
"bioplanet_274_TGF-beta signaling pathway",3.40686272261997,5.69424583091407,0.11267619700103,6.29448326855961,2.84949904500044
"bioplanet_298_Type 1 diabetes mellitus",3.40686272261997,4.3908657864606,3.03766536355106,5.86612606079381,3.85858448754514
"bioplanet_476_Neurotrophin signaling pathway",3.40686272261997,4.74151411741105,0.763890715865263,4.3908657864606,0.942657008357277
"bioplanet_489_Antigen-activated B-cell receptor generation of second messengers",3.40686272261997,5.34939227464052,1.61632475605795,6.46535607667128,3.49795873474214
"bioplanet_808_Carbohydrate metabolism",3.40686272261997,4.82876001639103,0.763890715865263,5.17634218757402,3.85858448754514
"bioplanet_871_Fatty acid, triacylglycerol, and ketone body metabolism",3.40686272261997,4.74151411741105,0,5.86612606079381,1.73126325977237
"bioplanet_990_Cell junction organization",3.40686272261997,3.31532673359404,1.372248786702,4.47879802300237,1.95116673061752
"GAVISH_3CA_MALIGNANT_METAPROGRAM_13_EMT_2",3.31532673359404,4.56654292963983,0,5.00281608039784,2.6582603490473
"GAVISH_3CA_METAPROGRAM_MACROPHAGES_INTERFERON",3.31532673359404,4.74151411741105,1.49703532919208,4.56654292963983,3.85858448754514
"GAVISH_3CA_METAPROGRAM_MACROPHAGES_MAC_1",3.31532673359404,4.91585797723938,0,4.91585797723938,3.03766536355106
"GAVISH_3CA_METAPROGRAM_MACROPHAGES_UNFOLDED_PROTEIN_RESPONSE",3.31532673359404,5.17634218757402,0.11267619700103,5.52201319044959,2.56126781642024
"HALLMARK_G2M_CHECKPOINT",3.31532673359404,4.56654292963983,0,5.00281608039784,1.84267338688252
"bioplanet_1017_Mitochondrial pathway of apoptosis: caspases",3.31532673359404,4.3908657864606,0,4.56654292963983,3.31532673359404
"bioplanet_1084_SLC-mediated transmembrane transport",3.31532673359404,3.49795873474214,2.94392816314568,4.74151411741105,2.36395730752721
"bioplanet_1467_Transcription",3.31532673359404,5.60817569519754,0,5.17634218757402,2.26334212484057
"bioplanet_199_Tight junction",3.31532673359404,4.12581959490148,0,5.26292365391609,2.84949904500044
"bioplanet_462_Chemokine signaling pathway",3.31532673359404,4.65411156213159,0,5.43575369515348,2.36395730752721
"bioplanet_683_Platelet activation, signaling and aggregation",3.31532673359404,5.17634218757402,1.09856809401842,5.86612606079381,3.40686272261997
"bioplanet_885_Cell-cell communication",3.31532673359404,4.03700673556826,0.942657008357277,5.00281608039784,2.05721100881878
"bioplanet_907_Activation of NF-kappaB in B cells",3.31532673359404,4.82876001639103,1.61632475605795,4.82876001639103,1.84267338688252
"bioplanet_980_Amyloids",3.31532673359404,5.08964182642378,1.24029253760438,5.08964182642378,2.6582603490473
"GAVISH_3CA_METAPROGRAM_CD8_T_CELLS_HEAT_SHOCK",3.22331192699552,4.12581959490148,0,4.91585797723938,2.94392816314568
"HALLMARK_ANDROGEN_RESPONSE",3.22331192699552,5.43575369515348,1.61632475605795,5.78022793055288,3.31532673359404
"bioplanet_1171_DNA replication pre-Initiation",3.22331192699552,4.65411156213159,1.61632475605795,4.74151411741105,1.95116673061752
"bioplanet_1206_MHC class II antigen presentation",3.22331192699552,4.65411156213159,2.05721100881878,5.43575369515348,3.22331192699552
"bioplanet_1518_Diabetes pathways",3.22331192699552,5.08964182642378,0,5.08964182642378,3.40686272261997
"bioplanet_469_Natural killer cell-mediated cytotoxicity",3.22331192699552,4.56654292963983,0.942657008357277,4.91585797723938,2.36395730752721
"GAVISH_3CA_METAPROGRAM_B_CELLS_HSP_STRESS",3.13077459853555,4.56654292963983,1.73126325977237,5.00281608039784,2.56126781642024
"GAVISH_3CA_METAPROGRAM_FIBROBLASTS_INTERFERON",3.13077459853555,5.17634218757402,1.95116673061752,5.43575369515348,3.58864942322419
"HALLMARK_MITOTIC_SPINDLE",3.13077459853555,5.17634218757402,0.942657008357277,5.17634218757402,2.46321203032535
"bioplanet_1026_Cell cycle checkpoints",3.13077459853555,4.56654292963983,1.95116673061752,4.56654292963983,1.84267338688252
